Symbol,Company Name,Exchange,Industry,Market Cap
TSXV:WVM,West Vault Mining Inc.,TSX Venture Exchange,Gold,88274860
TSXV:BQE,BQE Water Inc.,TSX Venture Exchange,Waste Management,87951176
TSXV:SGO,Sonoro Gold Corp.,TSX Venture Exchange,Other Precious Metals & Mining,53320746
TSXV:NVRO,NVRO Metals Limited,TSX Venture Exchange,Other Precious Metals & Mining,100562320
TSXV:COSA,Cosa Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,74578104
TSXV:PCRX,PharmaCorp Rx Inc.,TSX Venture Exchange,Pharmaceutical Retailers,88781648
TSXV:YGT,Gold Terra Resource Corp.,TSX Venture Exchange,Gold,86736785
TSXV:SCD,Scandium Canada Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,86229367
TSXV:SGN,Scorpio Gold Corporation,TSX Venture Exchange,Gold,63689460
TSXV:FMAN,Freeman Gold Corp.,TSX Venture Exchange,Gold,70490280
TSXV:ORC.B,Orca Energy Group Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,50904987
TSXV:ORC.A,Orca Energy Group Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,396026176
TSXV:ARIC,Awalé Resources Limited,TSX Venture Exchange,Gold,85677790
TSXV:EDG,Endurance Gold Corporation,TSX Venture Exchange,Gold,85010473
TSXV:BRO,Barksdale Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,55976490
TSXV:SOMA,Soma Gold Corp.,TSX Venture Exchange,Gold,67709890
TSXV:PGE,Stillwater Critical Minerals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,83936994
TSXV:ABI,Abcourt Mines Inc.,TSX Venture Exchange,Gold,83534410
TSXV:ASTR,Astra Exploration Inc.,TSX Venture Exchange,Other Precious Metals & Mining,69470650
TSXV:DAN,Arianne Phosphate Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,82095286
TSXV:AFE,Africa Energy Corp.,TSX Venture Exchange,Oil & Gas Exploration & Production,81457617
TSXV:CRE,Critical Elements Lithium Corporation,TSX Venture Exchange,Other Industrial Metals & Mining,81213885
TSXV:NDA,Neptune Digital Assets Corp.,TSX Venture Exchange,Capital Markets,80817030
TSXV:SECU,SSC Security Services Corp.,TSX Venture Exchange,Security & Protection Services,79817980
TSXV:PALS,Paragon Advanced Labs Inc.,TSX Venture Exchange,Scientific & Technical Instruments,80776728
TSXV:GWM,Galway Metals Inc.,TSX Venture Exchange,Gold,76404526
TSXV:REVX,Rev Exploration Corp.,TSX Venture Exchange,Gold,77490072
TSXV:NKG,Nevada King Gold Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,64759234
TSXV:ELBM,Electra Battery Materials Corporation,TSX Venture Exchange,Other Industrial Metals & Mining,13108650
TSXV:ROS,Roscan Gold Corporation,TSX Venture Exchange,Gold,76740073
TSXV:BEW,BeWhere Holdings Inc.,TSX Venture Exchange,Communication Equipment,76715715
TSXV:SERV,Elevate Service Group Inc.,TSX Venture Exchange,Specialty Business Services,79588248
TSXV:EPF,Everyday People Financial Corp.,TSX Venture Exchange,Credit Services,75157344
TSXV:HPQ,HPQ Silicon Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,75427524
TSXV:EOX,Euromax Resources Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,84358576
TSXV:UGD,Unigold Inc.,TSX Venture Exchange,Gold,74536840
TSXV:ARGH,Argo Corporation,TSX Venture Exchange,Software - Application,72883448
TSXV:ESK,Eskay Mining Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,72696421
TSXV:AUAU,A2 Gold Corp.,TSX Venture Exchange,Gold,54770134
TSXV:HAM,Highwood Asset Management Ltd.,TSX Venture Exchange,Oil & Gas Exploration & Production,66284192
TSXV:LVX,Leviathan Metals Corp.,TSX Venture Exchange,Gold,37481306
TSXV:NWST,NorthWest Copper Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,70770715
TSXV:PEAK,Sun Peak Metals Corp.,TSX Venture Exchange,Other Precious Metals & Mining,66507968
TSXV:TIGR,Tiger Gold Corp.,TSX Venture Exchange,Gold,65637460
TSXV:TLT,Theralase Technologies Inc.,TSX Venture Exchange,Medical Devices,60408630
TSXV:GLDC,Cassiar Gold Corp.,TSX Venture Exchange,Gold,69446135
TSXV:DB,Decibel Cannabis Company Inc.,TSX Venture Exchange,Drug Manufacturers - Specialty & Generic,69228000
TSXV:WHN,Westhaven Gold Corp.,TSX Venture Exchange,Gold,68938880
