Ticker,Company
BOUL.ST,Boule Diagnostics AB (publ)
WPAY.ST,Westpay AB
IMMNOV.ST,Immunovia AB (publ)
AQUAT.ST,Aquaticus Real Estate AB (publ)
PREC.ST,Precise Biometrics AB (publ)
BIOEX.ST,Bioextrax AB (publ)
NXTCL.ST,NextCell Pharma AB
ANOT.ST,Anoto Group AB (publ)
OPTI.ST,OptiCept Technologies AB (publ)
TELLUS.ST,Tellusgruppen AB (publ)
KLIMAT.ST,Klimator AB (publ)
MAGLE.ST,Magle Chemoswed Holding AB (publ)
GCOR.ST,Gaming Corps AB (publ)
ESGR-B.ST,ES Energy Save Holding AB (publ)
TSEC.ST,Tempest Security AB (publ)
GJAB.ST,Gullberg & Jansson AB (publ)
STWK.ST,Stockwik Förvaltning AB (publ)
DEVP-B.ST,DevPort AB (publ)
SUBGEN.ST,Subgen AI AB
INCOAX.ST,InCoax Networks AB (publ)
IRIS.ST,Irisity AB (publ)
ICO.ST,Iconovo AB (publ)
CLEM.ST,Clemondo Group AB (publ)
EFFH.ST,Effnetplattformen Holding AB (publ)
IDLDX.ST,IDL Diagnostics AB (publ)
SIMRIS-B.ST,Simris Group AB (PUBL)
IRLAB-A.ST,IRLAB Therapeutics AB (publ)
ALBERT.ST,eEducation Albert AB (publ)
LEVEL.ST,Nordic LEVEL Group AB (publ.)
BBROOM.ST,New Bubbleroom Sweden AB (publ)
AXOLOT.ST,Axolot Solutions Holding AB (publ)
STRD-B.ST,Suntrade Group AB (publ)
FING-B.ST,Fingerprint Cards AB (publ)
ONCOZ.ST,OncoZenge AB (publ)
ACOU.ST,AcouSort AB (publ)
AXIC-A.ST,aXichem AB
