Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
R1B.DE,Rubean AG,24058652,4.96,,Software - Infrastructure,0,,9.74%
EMH.DE,pferdewetten.de AG,19659471,3,3.45%,Media & Entertainment,9500,-72.5,28.21%
YOC.DE,YOC AG,24335346,7.08,1.14%,Advertising Agencies,701,14.12,-2.78%
WFA.DE,Weng Fine Art AG,,4.36,,Specialty Retail,600,,-5.22%
LSX.DE,LS telcom AG,21434100,3.79,2.43%,Telecom Services,222,29.15,8.29%
CLIQ.DE,Cliq Digital AG,21381127,3.63,-0.55%,Entertainment,4899,-1.71,17.31%
SF3.DE,STS Group AG,21285000,3.3,,Auto Parts,49,-36.67,13.40%
ISHA.DE,INTERSHOP Communications Aktiengesellschaft,15990639,1.07,-3.60%,Software - Application,946,-5.1,3.88%
DFTK.DE,DF Deutsche Forfait AG,20743658,1.75,,Capital Markets,1373,21.81,-7.92%
MAK.DE,Maternus-Kliniken Aktiengesellschaft,20655450,0.95,-3.55%,Medical Care Facilities,22,-1.54,-13.60%
ACWN.DE,A.S. Création Tapeten AG,20396997,7.4,,"Furnishings, Fixtures & Appliances",360,122.22,
ECF.DE,Mountain Alliance AG,18246798,2.65,,Internet Retail,10441,-53,9.96%
SMWN.DE,SM Wirtschaftsberatungs AG,18756266,4.78,,REIT - Diversified,400,8.79,-2.05%
T3T1.DE,Seven Principles AG,18853310,5,,Information Technology Services,102,12.34,-2.91%
NN6.DE,NanoRepro AG,18289250,1.5,0.67%,Diagnostics & Research,12513,-10.36,6.01%
ACX.DE,bet-at-home.com AG,18457340,2.65,0.76%,Gambling,13320,-5.72,3.16%
SYZ.DE,SYZYGY AG,18157500,1.35,2.28%,Advertising Agencies,1000,-1.95,2.67%
C1V0.DE,mVISE AG,17239716,8,-1.23%,Software - Application,0,-6.69,5.88%
AMM.DE,The Grounds Real Estate Development AG,16938248,0.54,-21.17%,Real Estate Services,6000,-0.64,-26.53%
MBQ.DE,Mobotix AG,16842602,1.23,-3.53%,Security & Protection Services,34,6.11,-10.55%
TGT.DE,11880 Solutions AG,15345837,0.55,-6.84%,Telecom Services,8939,18.99,-9.17%
SBX.DE,SynBiotic SE,8691612,1.8,-1.64%,Drug Manufacturers - Specialty & Generic,2755,-1.1,-6.74%
123F.DE,123fahrschule SE,14896250,2.68,2.29%,Education & Training Services,1852,,-1.47%
